series_id,obs_date,value
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2010-01-01,290.711
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2011-01-01,293.476
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2012-01-01,297.306
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2013-01-01,297.845
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2014-01-01,298.047
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2015-01-01,297.14
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2016-01-01,292.188
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2017-01-01,285.525
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2018-01-01,280.525
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2019-01-01,269.916
WHO_SDG:SDGAIRBODA.GIN.SEX_MLE.GHECAUSE_GHE000000.A,2021-01-01,229.576
