series_id,obs_date,value
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2010-01-01,42.62
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2011-01-01,42.892
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2012-01-01,42.089
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2013-01-01,40.208
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2014-01-01,40.147
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2015-01-01,41.779
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2016-01-01,41.731
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2017-01-01,40.01
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2018-01-01,40.408
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2019-01-01,39.668
WHO_SDG:SDGAIRBODA.GNQ.SEX_BTSX.GHECAUSE_GHE001140.A,2021-01-01,34.099
