series_id,obs_date,value
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2010-01-01,182.273
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2011-01-01,178.036
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2012-01-01,173.949
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2013-01-01,168.737
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2014-01-01,168.579
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2015-01-01,176.652
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2016-01-01,174.5
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2017-01-01,170.392
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2018-01-01,167.358
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2019-01-01,166.662
WHO_SDG:SDGAIRBODA.GNQ.SEX_FMLE.GHECAUSE_GHE000000.A,2021-01-01,143.284
