series_id,obs_date,value
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2010-01-01,85.66
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2011-01-01,88.966
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2012-01-01,89.59
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2013-01-01,88.645
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2014-01-01,89.041
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2015-01-01,89.144
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2016-01-01,88.455
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2017-01-01,88.404
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2018-01-01,88.097
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2019-01-01,86.633
WHO_SDG:SDGAIRBODA.HTI.SEX_MLE.GHECAUSE_GHE001130.A,2021-01-01,89.275
