series_id,obs_date,value
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2010-01-01,19.456
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2011-01-01,17.932
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2012-01-01,17.237
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2013-01-01,16.157
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2014-01-01,14.619
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2015-01-01,13.577
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2016-01-01,12.874
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2017-01-01,11.56
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2018-01-01,10.733
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2019-01-01,10.277
WHO_SDG:SDGAIRBODA.IDN.SEX_MLE.GHECAUSE_GHE000390.A,2021-01-01,4.745
