series_id,obs_date,value
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2010-01-01,2.818
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2011-01-01,2.863
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2012-01-01,2.892
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2013-01-01,2.927
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2014-01-01,2.931
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2015-01-01,3.042
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2016-01-01,3.029
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2017-01-01,3.1
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2018-01-01,3.123
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2019-01-01,3.063
WHO_SDG:SDGAIRBODA.IRN.SEX_FMLE.GHECAUSE_GHE001180.A,2021-01-01,2.78
