series_id,obs_date,value
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2010-01-01,108.31
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2011-01-01,104.559
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2012-01-01,100.809
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2013-01-01,96.842
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2014-01-01,91.771
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2015-01-01,92.071
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2016-01-01,89.777
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2017-01-01,88.462
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2018-01-01,89.185
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2019-01-01,90.432
WHO_SDG:SDGAIRBODA.IRQ.SEX_BTSX.GHECAUSE_GHE000000.A,2021-01-01,85.646
