series_id,obs_date,value
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2010-01-01,20.658
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2011-01-01,20.216
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2012-01-01,19.866
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2013-01-01,19.325
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2014-01-01,19.069
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2015-01-01,18.541
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2016-01-01,18.692
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2017-01-01,19.063
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2018-01-01,19.38
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2019-01-01,19.585
WHO_SDG:SDGAIRBODA.JOR.SEX_FMLE.GHECAUSE_GHE001130.A,2021-01-01,15.892
