series_id,obs_date,value
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2010-01-01,147.713
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2011-01-01,144.987
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2012-01-01,143.878
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2013-01-01,142.788
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2014-01-01,138.719
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2015-01-01,135.102
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2016-01-01,132.834
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2017-01-01,133.001
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2018-01-01,134.25
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2019-01-01,132.808
WHO_SDG:SDGAIRBODA.KEN.SEX_BTSX.GHECAUSE_GHE000000.A,2021-01-01,113.452
