series_id,obs_date,value
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2010-01-01,116.082
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2011-01-01,115.481
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2012-01-01,114.011
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2013-01-01,113.474
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2014-01-01,111.831
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2015-01-01,110.647
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2016-01-01,109.711
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2017-01-01,108.526
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2018-01-01,106.24
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2019-01-01,104.942
WHO_SDG:SDGAIRBODA.KIR.SEX_MLE.GHECAUSE_GHE001140.A,2021-01-01,86.428
