series_id,obs_date,value
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2010-01-01,25.335
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2011-01-01,24.625
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2012-01-01,24.301
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2013-01-01,23.955
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2014-01-01,23.312
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2015-01-01,23.042
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2016-01-01,23.11
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2017-01-01,22.693
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2018-01-01,22.732
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2019-01-01,22.845
WHO_SDG:SDGAIRBODA.LAO.SEX_BTSX.GHECAUSE_GHE001180.A,2021-01-01,22.633
