series_id,obs_date,value
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2010-01-01,8.116
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2011-01-01,7.491
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2012-01-01,7.815
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2013-01-01,8.069
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2014-01-01,8.508
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2015-01-01,8.841
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2016-01-01,9.251
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2017-01-01,9.8
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2018-01-01,9.636
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2019-01-01,9.386
WHO_SDG:SDGAIRBODA.LCA.SEX_MLE.GHECAUSE_GHE001140.A,2021-01-01,9.05
