series_id,obs_date,value
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2010-01-01,14.546
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2011-01-01,11.125
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2012-01-01,10.963
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2013-01-01,11.102
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2014-01-01,9.252
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2015-01-01,9.768
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2016-01-01,9.659
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2017-01-01,9.316
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2018-01-01,8.994
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2019-01-01,8.677
WHO_SDG:SDGAIRBODA.LKA.SEX_FMLE.GHECAUSE_GHE001140.A,2021-01-01,29.828
