series_id,obs_date,value
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2010-01-01,55.31
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2011-01-01,57.114
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2012-01-01,60.691
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2013-01-01,63.218
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2014-01-01,64.686
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2015-01-01,63.895
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2016-01-01,60.97
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2017-01-01,57.283
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2018-01-01,56.106
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2019-01-01,55.516
WHO_SDG:SDGAIRBODA.LSO.SEX_FMLE.GHECAUSE_GHE001130.A,2021-01-01,36.559
