series_id,obs_date,value
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2010-01-01,75.328
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2011-01-01,63.98
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2012-01-01,60.22
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2013-01-01,56.8
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2014-01-01,57.705
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2015-01-01,52.342
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2016-01-01,44.302
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2017-01-01,41.804
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2018-01-01,43.167
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2019-01-01,39.842
WHO_SDG:SDGAIRBODA.MDA.SEX_FMLE.GHECAUSE_GHE001130.A,2021-01-01,41.706
