series_id,obs_date,value
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2010-01-01,50.595
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2011-01-01,50.53
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2012-01-01,50.863
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2013-01-01,50.398
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2014-01-01,50.179
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2015-01-01,49.845
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2016-01-01,48.853
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2017-01-01,47.662
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2018-01-01,47.246
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2019-01-01,46.469
WHO_SDG:SDGAIRBODA.MLI.SEX_BTSX.GHECAUSE_GHE001140.A,2021-01-01,52.05
