series_id,obs_date,value
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2010-01-01,46.893
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2011-01-01,45.336
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2012-01-01,44.342
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2013-01-01,43.49
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2014-01-01,42.086
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2015-01-01,41.117
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2016-01-01,40.809
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2017-01-01,37.933
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2018-01-01,36.009
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2019-01-01,35.372
WHO_SDG:SDGAIRBODA.MMR.SEX_FMLE.GHECAUSE_GHE001130.A,2021-01-01,46.084
