series_id,obs_date,value
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2010-01-01,4.006
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2011-01-01,4.184
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2012-01-01,4.217
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2013-01-01,4.168
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2014-01-01,4.192
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2015-01-01,4.223
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2016-01-01,4.295
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2017-01-01,4.36
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2018-01-01,4.229
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2019-01-01,3.956
WHO_SDG:SDGAIRBODA.MNE.SEX_MLE.GHECAUSE_GHE001180.A,2021-01-01,1.545
