series_id,obs_date,value
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2010-01-01,9.666
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2011-01-01,9.73
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2012-01-01,9.835
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2013-01-01,9.708
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2014-01-01,9.377
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2015-01-01,9.251
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2016-01-01,9.109
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2017-01-01,9.062
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2018-01-01,9.072
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2019-01-01,9.015
WHO_SDG:SDGAIRBODA.MOZ.SEX_FMLE.GHECAUSE_GHE001180.A,2021-01-01,9.961
