series_id,obs_date,value
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2010-01-01,85.485
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2011-01-01,84.395
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2012-01-01,83.287
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2013-01-01,79.431
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2014-01-01,80.597
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2015-01-01,75.589
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2016-01-01,75.447
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2017-01-01,73.694
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2018-01-01,72.016
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2019-01-01,68.303
WHO_SDG:SDGAIRBODA.NGA.SEX_BTSX.GHECAUSE_GHE000390.A,2021-01-01,56.895
