series_id,obs_date,value
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2010-01-01,20.467
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2011-01-01,16.749
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2012-01-01,16.547
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2013-01-01,18.116
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2014-01-01,16.3
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2015-01-01,15.641
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2016-01-01,15.713
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2017-01-01,16.403
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2018-01-01,12.98
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2019-01-01,14.542
WHO_SDG:SDGAIRBODA.NIC.SEX_MLE.GHECAUSE_GHE001180.A,2021-01-01,3.418
