series_id,obs_date,value
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2010-01-01,8.579
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2011-01-01,8.7
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2012-01-01,8.85
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2013-01-01,9.024
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2014-01-01,9.095
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2015-01-01,9.219
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2016-01-01,9.267
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2017-01-01,9.284
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2018-01-01,9.514
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2019-01-01,9.501
WHO_SDG:SDGAIRBODA.NPL.SEX_BTSX.GHECAUSE_GHE000680.A,2021-01-01,5.331
