series_id,obs_date,value
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2010-01-01,9.24
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2011-01-01,9.372
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2012-01-01,9.55
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2013-01-01,9.744
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2014-01-01,9.86
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2015-01-01,10.041
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2016-01-01,10.13
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2017-01-01,10.182
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2018-01-01,10.463
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2019-01-01,10.498
WHO_SDG:SDGAIRBODA.NPL.SEX_FMLE.GHECAUSE_GHE000680.A,2021-01-01,3.692
