series_id,obs_date,value
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2010-01-01,33.945
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2011-01-01,32.592
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2012-01-01,31.664
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2013-01-01,29.008
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2014-01-01,28.296
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2015-01-01,27.316
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2016-01-01,26.177
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2017-01-01,25.243
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2018-01-01,23.991
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2019-01-01,23.271
WHO_SDG:SDGAIRBODA.PAK.SEX_BTSX.GHECAUSE_GHE000390.A,2021-01-01,15.874
