series_id,obs_date,value
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2010-01-01,57.867
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2011-01-01,56.96
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2012-01-01,56.442
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2013-01-01,55.812
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2014-01-01,54.394
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2015-01-01,53.357
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2016-01-01,52.149
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2017-01-01,51.076
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2018-01-01,50.729
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2019-01-01,48.391
WHO_SDG:SDGAIRBODA.PAK.SEX_FMLE.GHECAUSE_GHE001140.A,2021-01-01,37.656
