series_id,obs_date,value
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2010-01-01,7.949
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2011-01-01,7.511
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2012-01-01,7.255
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2013-01-01,6.904
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2014-01-01,6.411
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2015-01-01,5.862
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2016-01-01,5.573
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2017-01-01,5.374
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2018-01-01,5.255
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2019-01-01,5.085
WHO_SDG:SDGAIRBODA.PER.SEX_BTSX.GHECAUSE_GHE001140.A,2021-01-01,5.042
