series_id,obs_date,value
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2010-01-01,14.726
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2011-01-01,13.741
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2012-01-01,11.02
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2013-01-01,10.081
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2014-01-01,8.162
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2015-01-01,10.221
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2016-01-01,13.333
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2017-01-01,13.524
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2018-01-01,11.569
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2019-01-01,11.587
WHO_SDG:SDGAIRBODA.PRY.SEX_MLE.GHECAUSE_GHE000390.A,2021-01-01,23.007
