series_id,obs_date,value
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2010-01-01,18.599
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2011-01-01,16.442
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2012-01-01,16.362
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2013-01-01,16.913
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2014-01-01,18.702
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2015-01-01,17.892
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2016-01-01,17.802
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2017-01-01,17.685
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2018-01-01,19.14
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2019-01-01,19.878
WHO_SDG:SDGAIRBODA.RUS.SEX_BTSX.GHECAUSE_GHE001140.A,2021-01-01,7.802
