series_id,obs_date,value
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2010-01-01,58.554
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2011-01-01,52.797
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2012-01-01,52.862
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2013-01-01,54.503
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2014-01-01,58.968
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2015-01-01,56.008
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2016-01-01,55.089
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2017-01-01,54.115
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2018-01-01,57.907
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2019-01-01,59.45
WHO_SDG:SDGAIRBODA.RUS.SEX_FMLE.GHECAUSE_GHE000000.A,2021-01-01,26.731
