series_id,obs_date,value
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2010-01-01,4.68
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2011-01-01,4.645
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2012-01-01,4.613
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2013-01-01,4.472
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2014-01-01,4.271
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2015-01-01,4.211
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2016-01-01,4.108
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2017-01-01,4.126
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2018-01-01,4.023
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2019-01-01,3.887
WHO_SDG:SDGAIRBODA.SAU.SEX_FMLE.GHECAUSE_GHE001180.A,2021-01-01,0.518
