series_id,obs_date,value
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2010-01-01,1.857
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2011-01-01,1.974
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2012-01-01,2.336
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2013-01-01,2.249
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2014-01-01,1.593
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2015-01-01,1.835
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2016-01-01,1.675
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2017-01-01,1.628
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2018-01-01,1.35
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2019-01-01,0.917
WHO_SDG:SDGAIRBODA.SVN.SEX_FMLE.GHECAUSE_GHE000390.A,2021-01-01,0.887
