series_id,obs_date,value
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2010-01-01,8.251
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2011-01-01,8.064
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2012-01-01,7.225
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2013-01-01,6.341
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2014-01-01,5.81
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2015-01-01,5.611
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2016-01-01,4.854
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2017-01-01,4.602
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2018-01-01,4.729
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2019-01-01,4.369
WHO_SDG:SDGAIRBODA.SWE.SEX_FMLE.GHECAUSE_GHE001130.A,2021-01-01,2.836
