series_id,obs_date,value
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2010-01-01,358.362
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2011-01-01,340.918
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2012-01-01,335.443
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2013-01-01,318.839
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2014-01-01,293.953
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2015-01-01,276.038
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2016-01-01,267.135
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2017-01-01,257.316
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2018-01-01,246.921
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2019-01-01,241.707
WHO_SDG:SDGAIRBODA.SWZ.SEX_MLE.GHECAUSE_GHE000000.A,2021-01-01,186.201
