series_id,obs_date,value
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2010-01-01,1.9
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2011-01-01,1.814
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2012-01-01,1.888
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2013-01-01,1.907
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2014-01-01,1.735
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2015-01-01,1.715
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2016-01-01,1.835
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2017-01-01,1.696
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2018-01-01,1.684
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2019-01-01,1.695
WHO_SDG:SDGAIRBODA.SYC.SEX_FMLE.GHECAUSE_GHE001180.A,2021-01-01,0.982
