series_id,obs_date,value
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2010-01-01,11.898
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2011-01-01,11.863
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2012-01-01,11.906
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2013-01-01,12.05
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2014-01-01,11.274
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2015-01-01,11.387
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2016-01-01,12.222
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2017-01-01,13.087
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2018-01-01,13.095
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2019-01-01,13.45
WHO_SDG:SDGAIRBODA.SYR.SEX_BTSX.GHECAUSE_GHE001140.A,2021-01-01,18.37
