series_id,obs_date,value
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2010-01-01,102.581
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2011-01-01,102.09
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2012-01-01,100.666
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2013-01-01,98.302
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2014-01-01,94.751
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2015-01-01,90.851
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2016-01-01,87.992
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2017-01-01,85.449
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2018-01-01,83.227
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2019-01-01,81.553
WHO_SDG:SDGAIRBODA.TGO.SEX_BTSX.GHECAUSE_GHE000390.A,2021-01-01,76.416
