series_id,obs_date,value
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2010-01-01,3.288
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2011-01-01,3.238
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2012-01-01,3.135
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2013-01-01,2.981
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2014-01-01,2.88
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2015-01-01,2.721
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2016-01-01,2.587
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2017-01-01,2.394
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2018-01-01,2.249
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2019-01-01,2.092
WHO_SDG:SDGAIRBODA.TON.SEX_FMLE.GHECAUSE_GHE000680.A,2021-01-01,1.816
