series_id,obs_date,value
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2010-01-01,29.311
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2011-01-01,28.136
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2012-01-01,27.85
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2013-01-01,28.307
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2014-01-01,28.795
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2015-01-01,28.12
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2016-01-01,27.619
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2017-01-01,27.063
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2018-01-01,26.449
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2019-01-01,26.201
WHO_SDG:SDGAIRBODA.TUR.SEX_MLE.GHECAUSE_GHE001130.A,2021-01-01,28.941
