series_id,obs_date,value
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2010-01-01,1.038
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2011-01-01,1.023
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2012-01-01,0.966
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2013-01-01,0.89
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2014-01-01,0.848
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2015-01-01,0.772
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2016-01-01,0.619
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2017-01-01,0.654
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2018-01-01,0.693
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2019-01-01,0.548
WHO_SDG:SDGAIRBODA.USA.SEX_FMLE.GHECAUSE_GHE000680.A,2021-01-01,0.621
