series_id,obs_date,value
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2010-01-01,28.247
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2011-01-01,28.806
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2012-01-01,27.721
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2013-01-01,26.204
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2014-01-01,25.278
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2015-01-01,24.485
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2016-01-01,23.729
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2017-01-01,23.645
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2018-01-01,23.318
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2019-01-01,22.532
WHO_SDG:SDGAIRBODA.UZB.SEX_FMLE.GHECAUSE_GHE001140.A,2021-01-01,24.428
