series_id,obs_date,value
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2010-01-01,23.362
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2011-01-01,22.171
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2012-01-01,22.982
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2013-01-01,22.21
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2014-01-01,20.883
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2015-01-01,20.558
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2016-01-01,18.161
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2017-01-01,18.759
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2018-01-01,18.951
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2019-01-01,18.699
WHO_SDG:SDGAIRBODA.VCT.SEX_BTSX.GHECAUSE_GHE001130.A,2021-01-01,27.134
