series_id,obs_date,value
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2010-01-01,23.166
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2011-01-01,21.756
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2012-01-01,22.406
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2013-01-01,21.956
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2014-01-01,20.427
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2015-01-01,19.073
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2016-01-01,16.776
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2017-01-01,17.563
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2018-01-01,17.773
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2019-01-01,17.679
WHO_SDG:SDGAIRBODA.VCT.SEX_FMLE.GHECAUSE_GHE001130.A,2021-01-01,26.399
