series_id,obs_date,value
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2010-01-01,40.361
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2011-01-01,37.571
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2012-01-01,38.412
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2013-01-01,38.016
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2014-01-01,38.368
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2015-01-01,40.077
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2016-01-01,37.537
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2017-01-01,38.322
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2018-01-01,38.246
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2019-01-01,37.578
WHO_SDG:SDGAIRBODA.VCT.SEX_MLE.GHECAUSE_GHE000000.A,2021-01-01,48.502
