series_id,obs_date,value
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2010-01-01,9.227
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2011-01-01,9.222
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2012-01-01,9.09
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2013-01-01,8.631
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2014-01-01,8.938
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2015-01-01,8.504
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2016-01-01,8.464
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2017-01-01,8.143
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2018-01-01,7.625
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2019-01-01,7.258
WHO_SDG:SDGAIRBODA.VEN.SEX_MLE.GHECAUSE_GHE001140.A,2021-01-01,11.035
