series_id,obs_date,value
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2010-01-01,2.281
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2011-01-01,2.261
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2012-01-01,2.269
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2013-01-01,2.28
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2014-01-01,2.315
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2015-01-01,2.344
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2016-01-01,2.359
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2017-01-01,2.376
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2018-01-01,2.397
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2019-01-01,2.408
WHO_SDG:SDGAIRBODA.ZWE.SEX_BTSX.GHECAUSE_GHE000680.A,2021-01-01,3.084
