series_id,obs_date,value
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2010-01-01,41.454
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2011-01-01,39.626
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2012-01-01,38.722
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2013-01-01,38.248
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2014-01-01,37.957
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2015-01-01,36.68
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2016-01-01,35.637
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2017-01-01,34.006
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2018-01-01,32.696
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2019-01-01,32.316
WHO_SDG:SDGAIRBODA.ZWE.SEX_FMLE.GHECAUSE_GHE001140.A,2021-01-01,61.574
