series_id,obs_date,value
WHO_SDG:SDGDISASTER.KOR.A,2005-01-01,0.10858
WHO_SDG:SDGDISASTER.KOR.A,2006-01-01,0.14152
WHO_SDG:SDGDISASTER.KOR.A,2007-01-01,0.0477
WHO_SDG:SDGDISASTER.KOR.A,2008-01-01,0.1343
WHO_SDG:SDGDISASTER.KOR.A,2009-01-01,0.48777
WHO_SDG:SDGDISASTER.KOR.A,2010-01-01,0.07375
WHO_SDG:SDGDISASTER.KOR.A,2011-01-01,0.16474
WHO_SDG:SDGDISASTER.KOR.A,2012-01-01,0.04231
WHO_SDG:SDGDISASTER.KOR.A,2013-01-01,0.03194
WHO_SDG:SDGDISASTER.KOR.A,2014-01-01,0.81688
WHO_SDG:SDGDISASTER.KOR.A,2015-01-01,0.13139
WHO_SDG:SDGDISASTER.KOR.A,2016-01-01,0.05067
WHO_SDG:SDGDISASTER.KOR.A,2017-01-01,0.13977
WHO_SDG:SDGDISASTER.KOR.A,2018-01-01,0.28252
WHO_SDG:SDGDISASTER.KOR.A,2019-01-01,0.21427
WHO_SDG:SDGDISASTER.KOR.A,2020-01-01,2.08893
