series_id,obs_date,value
WHO_SDG:SDGNTDTREATMENT.BRB.A,2010-01-01,2917.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2011-01-01,746.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2012-01-01,1445.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2013-01-01,2848.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2014-01-01,2689.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2015-01-01,390.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2016-01-01,1433.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2017-01-01,398.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2018-01-01,67.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2019-01-01,117.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2020-01-01,1352.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2021-01-01,448.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2022-01-01,340.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2023-01-01,771.0
WHO_SDG:SDGNTDTREATMENT.BRB.A,2024-01-01,1133.0
