series_id,obs_date,value
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2010-01-01,8.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2011-01-01,36.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2012-01-01,17.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2013-01-01,14.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2014-01-01,14.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2015-01-01,25.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2016-01-01,185.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2017-01-01,8.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2018-01-01,40.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2019-01-01,58.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2020-01-01,664.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2021-01-01,0.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2022-01-01,0.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2023-01-01,0.0
WHO_SDG:SDGNTDTREATMENT.KAZ.A,2024-01-01,0.0
