series_id,obs_date,value
WHO_SDG:SDGODAWS.NAM.A,2010-01-01,16.0659
WHO_SDG:SDGODAWS.NAM.A,2011-01-01,61.2013
WHO_SDG:SDGODAWS.NAM.A,2012-01-01,18.999
WHO_SDG:SDGODAWS.NAM.A,2013-01-01,17.6768
WHO_SDG:SDGODAWS.NAM.A,2014-01-01,13.8254
WHO_SDG:SDGODAWS.NAM.A,2015-01-01,3.1644
WHO_SDG:SDGODAWS.NAM.A,2016-01-01,11.9197
WHO_SDG:SDGODAWS.NAM.A,2017-01-01,6.4488
WHO_SDG:SDGODAWS.NAM.A,2018-01-01,6.0238
WHO_SDG:SDGODAWS.NAM.A,2019-01-01,2.5961
WHO_SDG:SDGODAWS.NAM.A,2020-01-01,1.552
WHO_SDG:SDGODAWS.NAM.A,2021-01-01,2.9359
WHO_SDG:SDGODAWS.NAM.A,2022-01-01,2.2057
WHO_SDG:SDGODAWS.NAM.A,2023-01-01,5.7125
WHO_SDG:SDGODAWS.NAM.A,2024-01-01,23.2681
