series_id,obs_date,value
WHO_SDG:SDGODAWS.THA.A,2010-01-01,5.9818
WHO_SDG:SDGODAWS.THA.A,2011-01-01,8.5224
WHO_SDG:SDGODAWS.THA.A,2012-01-01,9.2845
WHO_SDG:SDGODAWS.THA.A,2013-01-01,11.7842
WHO_SDG:SDGODAWS.THA.A,2014-01-01,20.8495
WHO_SDG:SDGODAWS.THA.A,2015-01-01,7.1249
WHO_SDG:SDGODAWS.THA.A,2016-01-01,5.3594
WHO_SDG:SDGODAWS.THA.A,2017-01-01,2.481
WHO_SDG:SDGODAWS.THA.A,2018-01-01,1.4324
WHO_SDG:SDGODAWS.THA.A,2019-01-01,2.778
WHO_SDG:SDGODAWS.THA.A,2020-01-01,1.3312
WHO_SDG:SDGODAWS.THA.A,2021-01-01,1.7345
WHO_SDG:SDGODAWS.THA.A,2022-01-01,3.118
WHO_SDG:SDGODAWS.THA.A,2023-01-01,2.3222
WHO_SDG:SDGODAWS.THA.A,2024-01-01,2.8654
