series_id,obs_date,value
WHO_SDG:SDGODAWS.VEN.A,2010-01-01,0.2217
WHO_SDG:SDGODAWS.VEN.A,2011-01-01,0.7309
WHO_SDG:SDGODAWS.VEN.A,2012-01-01,0.6275
WHO_SDG:SDGODAWS.VEN.A,2013-01-01,0.2908
WHO_SDG:SDGODAWS.VEN.A,2014-01-01,0.5217
WHO_SDG:SDGODAWS.VEN.A,2015-01-01,0.229
WHO_SDG:SDGODAWS.VEN.A,2016-01-01,0.2311
WHO_SDG:SDGODAWS.VEN.A,2017-01-01,0.1585
WHO_SDG:SDGODAWS.VEN.A,2018-01-01,0.1089
WHO_SDG:SDGODAWS.VEN.A,2019-01-01,0.1949
WHO_SDG:SDGODAWS.VEN.A,2020-01-01,1.1626
WHO_SDG:SDGODAWS.VEN.A,2021-01-01,0.9121
WHO_SDG:SDGODAWS.VEN.A,2022-01-01,0.8266
WHO_SDG:SDGODAWS.VEN.A,2023-01-01,2.3351
WHO_SDG:SDGODAWS.VEN.A,2024-01-01,3.5546
