series_id,obs_date,value
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2010-01-01,14.663878231
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2011-01-01,15.028414462
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2012-01-01,13.346739732
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2013-01-01,13.007512273
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2014-01-01,12.308296575
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2015-01-01,12.219822827
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2016-01-01,11.244967079
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2017-01-01,11.264124083
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2018-01-01,11.387606289
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2019-01-01,10.438357634
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2020-01-01,9.485469778
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2021-01-01,9.825133234
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2022-01-01,10.058734722
WHO_SDG:SDGPM25.155.RESIDENCEAREATYPE_URB.A,2023-01-01,9.054807824
