series_id,obs_date,value
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2010-01-01,11.935237595
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2011-01-01,11.832124706
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2012-01-01,10.974344319
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2013-01-01,10.778989535
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2014-01-01,10.467628758
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2015-01-01,10.156988328
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2016-01-01,9.294466818
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2017-01-01,9.442894481
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2018-01-01,9.686356306
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2019-01-01,8.93308443
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2020-01-01,8.579236679
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2021-01-01,8.925356588
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2022-01-01,8.79739753
WHO_SDG:SDGPM25.513.RESIDENCEAREATYPE_TOWN.A,2023-01-01,9.015156134
