series_id,obs_date,value
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2010-01-01,23.983561305
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2011-01-01,24.886545817
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2012-01-01,25.054234132
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2013-01-01,23.98129393
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2014-01-01,23.768384304
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2015-01-01,25.577566551
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2016-01-01,25.214203929
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2017-01-01,24.813693646
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2018-01-01,24.779213075
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2019-01-01,23.9635218
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2020-01-01,25.135660974
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2021-01-01,25.496520193
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2022-01-01,25.617296399
WHO_SDG:SDGPM25.AFR.RESIDENCEAREATYPE_TOWN.A,2023-01-01,25.056941683
