series_id,obs_date,value
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2010-01-01,5.43038281
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2011-01-01,5.624134333
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2012-01-01,6.252104301
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2013-01-01,6.136632004
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2014-01-01,6.304936509
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2015-01-01,5.992493073
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2016-01-01,6.224342015
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2017-01-01,6.43667567
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2018-01-01,6.398685531
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2019-01-01,7.254699185
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2020-01-01,6.250497554
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2021-01-01,5.459801345
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2022-01-01,4.966758384
WHO_SDG:SDGPM25.AUS.RESIDENCEAREATYPE_RUR.A,2023-01-01,5.729385747
