series_id,obs_date,value
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2010-01-01,14.408796169
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2011-01-01,14.66671243
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2012-01-01,13.021457548
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2013-01-01,12.751632528
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2014-01-01,12.115389552
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2015-01-01,12.185723907
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2016-01-01,11.097384614
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2017-01-01,11.027315457
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2018-01-01,11.757486572
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2019-01-01,10.432017202
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2020-01-01,9.563282558
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2021-01-01,9.878182373
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2022-01-01,10.106259676
WHO_SDG:SDGPM25.AUT.RESIDENCEAREATYPE_TOWN.A,2023-01-01,8.999766994
