series_id,obs_date,value
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2010-01-01,23.953913402
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2011-01-01,24.623328378
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2012-01-01,23.902669195
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2013-01-01,26.176994314
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2014-01-01,25.501814204
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2015-01-01,26.184727357
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2016-01-01,25.933213373
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2017-01-01,24.475890063
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2018-01-01,21.78084415
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2019-01-01,20.952119538
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2020-01-01,21.249710259
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2021-01-01,20.397217531
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2022-01-01,20.767585506
WHO_SDG:SDGPM25.CHL.RESIDENCEAREATYPE_URB.A,2023-01-01,21.573685991
