series_id,obs_date,value
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2010-01-01,60.938467687
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2011-01-01,61.665632478
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2012-01-01,58.35226911
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2013-01-01,64.288529944
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2014-01-01,55.199772813
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2015-01-01,51.241431503
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2016-01-01,46.55313823
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2017-01-01,46.038069766
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2018-01-01,39.778106232
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2019-01-01,37.230650481
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2020-01-01,33.704414925
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2021-01-01,32.104996668
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2022-01-01,29.986907926
WHO_SDG:SDGPM25.CHN.RESIDENCEAREATYPE_CITY.A,2023-01-01,32.438380118
