series_id,obs_date,value
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2010-01-01,17.31168752
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2011-01-01,17.379875654
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2012-01-01,18.788121833
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2013-01-01,16.629518851
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2014-01-01,18.294274649
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2015-01-01,17.893677874
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2016-01-01,18.150085714
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2017-01-01,18.487790977
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2018-01-01,17.810300303
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2019-01-01,18.099816547
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2020-01-01,19.136986275
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2021-01-01,20.235532713
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2022-01-01,20.475868648
WHO_SDG:SDGPM25.DZA.RESIDENCEAREATYPE_TOTL.A,2023-01-01,18.577523714
