series_id,obs_date,value
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2010-01-01,16.359506246
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2011-01-01,15.970940954
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2012-01-01,14.435900455
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2013-01-01,15.358515651
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2014-01-01,14.877088854
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2015-01-01,14.611023571
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2016-01-01,13.650546608
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2017-01-01,13.363083317
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2018-01-01,12.666893009
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2019-01-01,11.85842601
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2020-01-01,10.11192444
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2021-01-01,9.65234349
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2022-01-01,9.643546369
WHO_SDG:SDGPM25.GBD_IHME_ASIAPACHI.RESIDENCEAREATYPE_TOTL.A,2023-01-01,9.445622453
