series_id,obs_date,value
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2010-01-01,24.767272479
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2011-01-01,28.297007167
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2012-01-01,24.81798818
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2013-01-01,28.071671709
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2014-01-01,26.551739406
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2015-01-01,26.144231365
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2016-01-01,25.704060238
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2017-01-01,24.112440576
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2018-01-01,23.973605403
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2019-01-01,23.614083916
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2020-01-01,24.813759711
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2021-01-01,19.635767431
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2022-01-01,20.502014931
WHO_SDG:SDGPM25.HND.RESIDENCEAREATYPE_CITY.A,2023-01-01,24.185322587
