series_id,obs_date,value
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2010-01-01,21.757540365
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2011-01-01,23.991236088
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2012-01-01,21.649428653
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2013-01-01,19.97829243
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2014-01-01,20.231308261
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2015-01-01,19.986665297
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2016-01-01,19.018750928
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2017-01-01,19.593019841
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2018-01-01,20.489163314
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2019-01-01,16.632136066
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2020-01-01,15.329573712
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2021-01-01,16.086527142
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2022-01-01,15.428591684
WHO_SDG:SDGPM25.HRV.RESIDENCEAREATYPE_URB.A,2023-01-01,13.824257531
