series_id,obs_date,value
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2010-01-01,14.190727006
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2011-01-01,14.343725112
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2012-01-01,14.561115179
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2013-01-01,14.131885784
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2014-01-01,14.188426045
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2015-01-01,14.387187997
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2016-01-01,14.173921526
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2017-01-01,14.126108219
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2018-01-01,14.061604523
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2019-01-01,14.266560603
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2020-01-01,14.264333773
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2021-01-01,14.506848787
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2022-01-01,14.813317118
WHO_SDG:SDGPM25.MWI.RESIDENCEAREATYPE_URB.A,2023-01-01,14.783018375
